🌿 ハーブレン,,,,,,,,,
,,,,,,,,,
薬香の森,,(AP:6),,,,,,,
採　取,雑草,ミント,ヨモギ,毒消し草,薬草,テングタケ,コケ,治癒草,ダンジョンマップのかけら
ウサギ,兎の毛皮,兎の耳,菜種,,,,,,
毒グモ,クモの糸,蜘蛛の牙,蜘蛛の目,毒液,雑草,,,,
棘ツタ,棘の種,棘の繊維,雑草,つる,薬草,,,,
毒ガエル,ガエルの油,ガエルの舌,スライムコア,毒消し草,,,,,
毒ヘビ,蛇皮,毒蛇の牙,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
東ハーブレン草原,,(AP:7),,,,,,,
採　取,雑草,ヨモギ,サンショウ,トウガラシ,綿花,テングタケ,薬草,,
キラービー,花の蜜,はちみつ,蜂の針,蜜蝋,,,,,
毒ガエル,カエルの舌,毒消し草,スライムコア,ガエルの油,,,,,
毒グモ,毒液,蜘蛛の目,蜘蛛の牙,雑草,,,,,
棘ツタ,棘の種,薬草,つる,,,,,,
野良犬,とがった牙,野犬の毛,蛇皮,野犬の牙,小さなお肉,,,,
オーク,オークの皮,矢じり,とがった牙,薬草,小さなお肉,オークの牙,ロングスピア,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
精霊の森,,(AP:17 ／ 深淵の塔クリアで解放),,,,,,,
採　取,なし,,,,,,,,
蔓蛇,枝,つる,棘の繊維,蛇皮,,,,,
菌獣,なめこ,コケ,テングタケ,スライムゼリー,雑草,,,,
棘の精霊,枝,枯れ葉,棘の繊維,棘の種,つる,樹脂,枝,,
古代トレント,世界樹の樹皮,トレントの樹皮,トレントの樹液,樹脂,,,,,
森の精霊,薬草,ヨモギ,香草,精霊の雫,,,,,
カラフアゲハ,薬草,鉱蛾の鱗粉,花の蜜,雑草,,,,,
モスゴーレム,粘土,石,ゴーレムの破片,硬木,コケ,,,,
風の妖精,枝,雑草,海鳥の羽,風の結晶,精霊の雫,,,,
エルダドリアード,世界樹の樹皮,香草,陽光石,精霊の花弁,アルラウネの根,,,,
霊狐,香草,精霊の花弁,毛皮,精霊の雫,風の結晶,狼の尾,,,
精霊王,世界樹の樹皮,精霊の花弁,光の結晶,陽光石,風の結晶,精霊の雫,,,