🏰 リーフィア,,,,,,,,,
,,,,,,,,,
リーフ草原,,(AP:5),,,,,,,
採　取,雑草,薬草,チモシー,ヨモギ,アルファルファ,オーツ,トウガラシ,バイソングラス,
敵なし,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
ミント林,,(AP:6),,,,,,,
採　取,雑草,枝,枯れ葉,アケビ,コケ,ミント,コケモモ,キイチゴ,なめこ
ウサギ,兔の毛皮,雑草,兎の耳,,,,,,
キラービー,蜂の針,薬草,はちみつ,蜜蝋,,,,,
野良犬,とがった牙,野犬の毛,野犬の牙,ちいさなお肉,,,,,
毒ヘビ,蛇皮,毒嚢,毒液,,,,,,
毒グモ,蜘蛛の目,蜘蛛の牙,クモの糸,毒嚢,毒液,,,,
アルラウネ,アルラウネの根,香草,アルラウネの花弁,薬草,ヨモギ,つる,,,
オーク,オークの皮,オークの牙,,,,,,,
ウルフ,毛皮,狼の爪,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
城前の池,,(AP:5 ／ 釣り竿を装備の上、釣り針・ルアー・釣り餌のいずれかを装備必須),,,,,,,
採取（釣り）,クサガメ,コイ,小エビ,小魚,スッポン,ウナギ,フナ,ナマズ,空き缶
敵なし,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
共鳴の回廊,,(AP:21 ／ 深淵の塔クリアで解放),,,,,,,
採　取,なし,,,,,,,,
エコーバット,コウモリの翼膜,音の結晶,共鳴の欠片,反響石,コウモリの牙,,,,
ミルキーモス,音の結晶,共鳴の欠片,星光石,闇の結晶,鉱蛾の鱗粉,リン,,,
沈黙のゴーレム,ゴーレムの破片,ゴーレムの核,音の結晶,共鳴の欠片,反響石,,,,
 星の篝火,魔力の欠片,星光石,火の結晶,,,,,,
サンダーインプ,ゴブリンのナイフ,共鳴の欠片,リン,,,,,,
吸収スライム,反響石,,,,,,,,
音晶精霊,反響石,音の結晶,,,,,,,
天球竜,情報なし,,,,,,,,
 不和霊士,情報なし,,,,,,,,